txn_id,user_id,amount,location,device,timestamp,risk_score,true_label,predicted_label
txn_1772298601220_361,U275,12785,Hyderabad,mobile,1772298601.2206476,0,GENUINE,GENUINE
txn_1772298603349_324,U180,17098,Mumbai,web,1772298603.349947,1.13,GENUINE,FRAUD
txn_1772298605358_609,U163,13988,Chennai,web,1772298605.358641,0,GENUINE,GENUINE
txn_1772298607372_834,U861,17992,Mumbai,mobile,1772298607.3727295,1.15,FRAUD,FRAUD
txn_1772298609386_178,U942,12055,Bangalore,mobile,1772298609.386199,0,GENUINE,GENUINE
txn_1772298611398_853,U363,15980,Mumbai,web,1772298611.3983555,0.6,FRAUD,FRAUD
txn_1772298613414_566,U310,6520,Foreign,mobile,1772298613.4147775,1.07,FRAUD,GENUINE
txn_1772298615422_515,U906,7479,Foreign,web,1772298615.4228473,0.72,FRAUD,GENUINE
txn_1772298617434_417,U858,12264,Chennai,web,1772298617.434221,0,GENUINE,GENUINE
txn_1772298619442_852,U739,13297,Delhi,web,1772298619.4424827,0,GENUINE,GENUINE
txn_1772298621457_747,U243,5830,Chennai,mobile,1772298621.4575317,0,GENUINE,GENUINE
txn_1772298623468_613,U699,3974,Mumbai,web,1772298623.4685335,0,GENUINE,GENUINE
txn_1772298625482_133,U921,6143,Hyderabad,web,1772298625.4827347,0,GENUINE,GENUINE
txn_1772298627491_787,U936,15226,Bangalore,mobile,1772298627.4912477,0.73,FRAUD,FRAUD
txn_1772298629501_202,U256,14199,Foreign,mobile,1772298629.501247,1.18,FRAUD,FRAUD
txn_1772298631517_384,U559,4447,Mumbai,web,1772298631.5177019,0,GENUINE,GENUINE
txn_1772298633533_870,U167,2066,Kolkata,mobile,1772298633.5332677,0,GENUINE,GENUINE
txn_1772298635544_924,U506,4568,Bangalore,web,1772298635.544552,0,GENUINE,GENUINE
txn_1772298637553_636,U465,4000,Foreign,web,1772298637.553333,0.99,GENUINE,GENUINE
txn_1772298639570_638,U924,6351,Bangalore,mobile,1772298639.57,0,GENUINE,GENUINE
txn_1772298641584_348,U648,14442,Bangalore,web,1772298641.5844903,0,GENUINE,GENUINE
txn_1772298643598_850,U491,5723,Bangalore,mobile,1772298643.5986829,0,GENUINE,GENUINE
txn_1772298645609_792,U106,18547,Foreign,web,1772298645.6098306,2.53,GENUINE,FRAUD
txn_1772298647621_621,U603,11713,Bangalore,web,1772298647.6213002,0,GENUINE,GENUINE
txn_1772298649628_491,U518,13807,Bangalore,mobile,1772298649.6287234,0,GENUINE,GENUINE
txn_1772298651640_630,U441,10595,Chennai,mobile,1772298651.6405149,0,GENUINE,GENUINE
txn_1772298653650_511,U640,18230,Kolkata,mobile,1772298653.650179,1.05,FRAUD,FRAUD
txn_1772298655660_836,U430,16320,Mumbai,web,1772298655.6604507,1.13,FRAUD,FRAUD
txn_1772298657669_218,U537,2661,Hyderabad,web,1772298657.6699529,0,GENUINE,GENUINE
txn_1772298659686_283,U821,2905,Hyderabad,mobile,1772298659.6863616,0,GENUINE,GENUINE
txn_1772298661697_116,U820,3951,Hyderabad,web,1772298661.6973355,0,GENUINE,GENUINE
txn_1772298663700_670,U315,7417,Chennai,mobile,1772298663.7007196,0,GENUINE,GENUINE
txn_1772298665710_861,U381,18227,Kolkata,web,1772298665.710722,1.23,FRAUD,FRAUD
